family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
bucconidae,124,0.12657083570957184,0.03569035977125168,0.019893527030944824,31,10,0.47580645161290325,Back
bucerotidae,235,0.12992188334465027,0.027758875861763954,0.0645909309387207,54,11,0.5404255319148936,Back
buphagidae,12,0.05771132931113243,0.0048525407910346985,0.07637017965316772,2,1,0.5,Back
burhinidae,40,0.087429478764534,0.029846148565411568,0.08752071857452393,7,2,0.5,Back
cacatuidae,61,0.1703673154115677,0.03364818915724754,0.06215167045593262,17,5,0.47540983606557374,Back
calcariidae,29,0.08301562070846558,0.0227578803896904,0.0686725378036499,6,2,0.4482758620689655,Back
callaeidae,3,0.047033172100782394,0.008081009611487389,0.10546767711639404,1,1,1.0,Back
calyptomenidae,25,0.14736220240592957,0.027685850858688354,0.06363028287887573,6,2,0.56,Back
calyptophilidae,3,0.03762296959757805,0.0072131711058318615,0.07656681537628174,1,1,0.6666666666666666,Back
campephagidae,359,0.13470019400119781,0.04922134801745415,0.02859419584274292,72,5,0.5013927576601671,Back
capitonidae,40,0.14733338356018066,0.035269882529973984,0.04653620719909668,9,2,0.5,Back
caprimulgidae,339,0.09451305121183395,0.04332851618528366,0.0735136866569519,73,15,0.5073746312684366,Back
cardinalidae,238,0.13810938596725464,0.04246935620903969,0.014206349849700928,47,14,0.5252100840336135,Back
cariamidae,5,0.07228533923625946,0.009424131363630295,0.08830666542053223,2,2,0.4,Back
cathartidae,23,0.12144578248262405,0.037954457104206085,0.05031013488769531,6,4,0.5217391304347826,Back
certhiidae,37,0.06521989405155182,0.01587575301527977,0.07478839159011841,7,1,0.4864864864864865,Back
chaetopidae,9,0.07958324998617172,0.011250268667936325,0.09443223476409912,2,1,0.3333333333333333,Back
charadriidae,350,0.10265687108039856,0.03702956438064575,0.03734487295150757,63,10,0.5028571428571429,Back
chionidae,6,0.04103098437190056,0.011251810006797314,0.27823013067245483,1,1,0.5,Back
chloropseidae,44,0.07643845677375793,0.019268285483121872,0.1441887617111206,8,1,0.5,Back
ciconiidae,83,0.1609579175710678,0.029910512268543243,0.07034122943878174,19,6,0.42168674698795183,Back
