family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
muscicapidae,1512,0.14041559398174286,0.043445877730846405,0.007597982883453369,278,50,0.5119047619047619,Belly
musophagidae,128,0.13716891407966614,0.040101345628499985,0.10276341438293457,22,6,0.5,Belly
nectariniidae,680,0.15782538056373596,0.05912153795361519,0.02940678596496582,123,5,0.513235294117647,Belly
neosittidae,8,0.10838838666677475,0.04408419132232666,0.10936760902404785,2,1,0.625,Belly
nesospingidae,2,0.03866812586784363,2.9802322387695312e-08,0.09667754173278809,1,1,1.0,Belly
nicatoridae,18,0.07404843717813492,0.01386958546936512,0.08268022537231445,3,1,0.5,Belly
notiomystidae,5,0.08125181496143341,0.018525080755352974,0.054627954959869385,1,1,0.6,Belly
numididae,11,0.14931227266788483,0.03140947222709656,0.10890787839889526,6,4,0.5454545454545454,Belly
nyctibiidae,15,0.1064053624868393,0.025616198778152466,0.136765718460083,6,1,0.4666666666666667,Belly
oceanitidae,39,0.10418756306171417,0.02504086121916771,0.06344640254974365,7,5,0.46153846153846156,Belly
odontophoridae,53,0.14602233469486237,0.03546563908457756,0.06282985210418701,29,10,0.41509433962264153,Belly
opisthocomidae,5,0.07338912785053253,0.008233824744820595,0.10595488548278809,1,1,0.4,Belly
oreoicidae,11,0.09984219074249268,0.012848373502492905,0.037738680839538574,2,2,0.45454545454545453,Belly
oriolidae,163,0.17883919179439545,0.0388597771525383,0.05212610960006714,33,3,0.49079754601226994,Belly
orthonychidae,9,0.09603257477283478,0.00927742850035429,0.1050041913986206,3,1,0.4444444444444444,Belly
otididae,98,0.1294492483139038,0.03827420622110367,0.06319278478622437,23,7,0.5102040816326531,Belly
pachycephalidae,143,0.14097274839878082,0.04213413596153259,0.019350767135620117,33,3,0.48951048951048953,Belly
pandionidae,6,0.06681841611862183,0.017870480194687843,0.07722783088684082,1,1,0.5,Belly
panuridae,6,0.061373960226774216,0.013299671933054924,0.08438849449157715,1,1,0.5,Belly
